filename, language, Python, YAML, XML, jupyter, comment, blank, total
preprocessing/cleaning/tests/test_htmlcleaner.py, Python, 11, 0, 0, 0, 0, 7, 18
preprocessing/cleaning/tests/test_lemmatizationcleaner.py, Python, 10, 0, 0, 0, 0, 3, 13
preprocessing/cleaning/tests/test_mentioncleaner.py, Python, 13, 0, 0, 0, 0, 5, 18
preprocessing/cleaning/tests/test_numericcleaner.py, Python, 11, 0, 0, 0, 0, 3, 14
preprocessing/cleaning/tests/test_punctuationcleaner.py, Python, 10, 0, 0, 0, 0, 3, 13
preprocessing/cleaning/tests/test_stopwords.py, Python, 16, 0, 0, 0, 0, 5, 21
preprocessing/cleaning/tests/test_twittercorpuscleaner.py, Python, 7, 0, 0, 0, 0, 3, 10
preprocessing/cleaning/tests/test_urlcleaner.py, Python, 7, 0, 0, 0, 0, 2, 9
preprocessing/cleaning/tests/test_wordlengtheningcleaner.py, Python, 22, 0, 0, 0, 1, 5, 28
preprocessing/cleaning/twittercorpuscleaner.py, Python, 9, 0, 0, 0, 1, 5, 15
preprocessing/cleaning/urlcleaner.py, Python, 9, 0, 0, 0, 0, 5, 14
preprocessing/cleaning/wordlengtheningcleaner.py, Python, 11, 0, 0, 0, 1, 5, 17
preprocessing/core/__init__.py, Python, 2, 0, 0, 0, 0, 0, 2
preprocessing/core/corpus.py, Python, 10, 0, 0, 0, 0, 6, 16
preprocessing/core/corpus_rep.py, Python, 13, 0, 0, 0, 0, 6, 19
preprocessing/infrastructure/__init__.py, Python, 4, 0, 0, 0, 0, 1, 5
preprocessing/infrastructure/emoticon_rep.py, Python, 16, 0, 0, 0, 0, 7, 23
preprocessing/infrastructure/file_corpus_rep.py, Python, 21, 0, 0, 0, 0, 7, 28
preprocessing/infrastructure/stopwords_rep.py, Python, 14, 0, 0, 0, 1, 6, 21
preprocessing/infrastructure/tests/__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
preprocessing/infrastructure/tests/emoticonrep_stub.py, Python, 10, 0, 0, 0, 0, 3, 13
preprocessing/infrastructure/tests/stopswordsrep_stub.py, Python, 8, 0, 0, 0, 0, 3, 11
preprocessing/infrastructure/tests/test_emoticonrep.py, Python, 11, 0, 0, 0, 0, 7, 18
preprocessing/infrastructure/tests/test_file_corpus_rep.py, Python, 25, 0, 0, 0, 0, 13, 38
preprocessing/ui/__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
preprocessing/ui/preprocessed corpus analysis.ipynb, jupyter, 0, 0, 0, 462, 0, 1, 463
preprocessing/ui/preprocessing.ipynb, jupyter, 0, 0, 0, 128, 0, 1, 129
wordvectors/__initi__.py, Python, 0, 0, 0, 0, 0, 1, 1
wordvectors/app.py, Python, 11, 0, 0, 0, 0, 9, 20
wordvectors/core/__init__.py, Python, 5, 0, 0, 0, 0, 0, 5
wordvectors/core/corpus.py, Python, 10, 0, 0, 0, 0, 6, 16
wordvectors/core/corpus_rep.py, Python, 10, 0, 0, 0, 0, 5, 15
wordvectors/core/embeddingsmachine.py, Python, 33, 0, 0, 0, 0, 21, 54
wordvectors/core/keyedvectors_rep.py, Python, 13, 0, 0, 0, 0, 6, 19
wordvectors/core/vectorizer.py, Python, 44, 0, 0, 0, 0, 13, 57
wordvectors/core/word2vec_rep.py, Python, 13, 0, 0, 0, 0, 6, 19
wordvectors/infrastructure/__init__.py, Python, 3, 0, 0, 0, 0, 0, 3
wordvectors/infrastructure/file_corpus_rep.py, Python, 19, 0, 0, 0, 0, 10, 29
wordvectors/infrastructure/file_keyedvectors_rep.py, Python, 24, 0, 0, 0, 0, 9, 33
wordvectors/infrastructure/file_word2vec_rep.py, Python, 23, 0, 0, 0, 0, 8, 31
wordvectors/ui/__init__.py, Python, 1, 0, 0, 0, 0, 0, 1
wordvectors/ui/statisticsreporter.py, Python, 95, 0, 0, 0, 1, 13, 109
wordvectors/ui/vectorization-facebook.ipynb, jupyter, 0, 0, 0, 3439, 0, 1, 3440
wordvectors/ui/vectorization-spanish_billion_word.ipynb, jupyter, 0, 0, 0, 3427, 0, 1, 3428
wordvectors/ui/vectorization-twitter.ipynb, jupyter, 0, 0, 0, 3426, 0, 1, 3427
Total, -, 1882, 20, 236, 17473, 46, 628, 20285
